[2024-08-22 03:04:07] 15,04 usd => 82,36 brl
[2024-08-22 03:04:33] 100,00 eur => 111,39 usd
[2024-08-22 12:53:03] 15,71 usd => 15,71 usd
[2024-08-22 12:53:17] 15,71 usd => 15,71 usd
[2024-08-22 12:57:43] 15,00 dólar => 15,00 dólar
[2024-08-22 13:40:38] 15,71 dólar => 86,03 real
[2024-08-22 13:41:27] 1,00 dólar => 5,48 real
[2024-08-22 13:41:27] 1,00 dólar => 5,48 real
[2024-08-22 13:43:49] 1,00 usd => 5,48 brl
[2024-08-22 13:44:39] 1,00 dólar => 5,48 brl
[2024-08-22 13:45:38] 1,00 dólar => 5,48 real
[2024-08-22 13:46:50] 1,00 dólar => 5,48 real
[2024-08-22 13:52:35] 1,00 usd => 5,48 brl
[2024-08-22 13:56:19] 1,00 brl => 0,18 usd
[2024-08-22 14:04:02] 1,00 brl => 0,18 usd
